# North America
IN,PK
IN,CN
IN,NP
IN,BT
IN,BD
IN,MM
CN,RU
CN,MN
CN,KZ
CN,KG
CN,TJ
CN,AF
CN,PK
CN,IN
CN,NP
CN,BT
CN,MM
CN,LA
CN,VN
CN,KP
MN,RU
MN,CN
NP,CN
NP,IN
BT,CN
BT,IN
BD,IN
BD,MM
MM,IN
MM,BD
MM,CN
MM,LA
MM,TH
LA,CN
LA,MM
LA,TH
LA,VN
VN,CN
VN,LA
VN,KH
KH,VN
KH,LA
KH,TH
TH,MM
TH,LA
TH,KH
TH,MY
MY,TH
MY,SG
MY,BN
MY,ID
SG,MY
BN,MY
ID,MY
ID,TL
ID,PG
TL,ID
PG,ID
PH,MY

# Asia - East
KP,RU
KP,CN
KR,KP
JP,KR

# Africa - North
MA,ES
MA,DZ
MA,EH
DZ,MA
DZ,TN
DZ,LY
DZ,NE
DZ,ML
DZ,MR
TN,DZ
TN,LY
LY,DZ
LY,TN
LY,EG
LY,SD
LY,TD
LY,NE
EG,LY
EG,SD
EG,IL
SD,EG
SD,LY
SD,TD
SD,CF
SD,SS
SD,ET
SD,ER
MR,DZ
MR,ML
MR,SN
ML,DZ
ML,MR
ML,SN
ML,GN
ML,CI
ML,BF
ML,NE
NE,DZ
NE,LY
NE,TD
NE,NG
NE,BJ
NE,BF
NE,ML
TD,LY
TD,SD
TD,CF
TD,CM
TD,NG
TD,NE

# Africa - West
SN,MR
SN,ML
SN,GN
SN,GW
SN,GM
GM,SN
GW,SN
GW,GN
GN,ML
GN,SN
GN,GW
GN,SL
GN,LR
GN,CI
SL,GN
SL,LR
LR,GN
LR,SL
LR,CI
CI,ML
CI,GN
CI,LR
CI,GH
CI,BF
GH,CI
GH,TG
GH,BF
TG,GH
TG,BJ
TG,BF
BJ,TG
BJ,NE
BJ,NG
BJ,BF
BF,ML
BF,NE
BF,BJ
BF,TG
BF,GH
BF,CI
NG,NE
NG,TD
NG,CM
NG,BJ

# Africa - Central
CM,TD
CM,CF
CM,CG
CM,GQ
CM,GA
CM,NG
CF,TD
CF,SD
CF,SS
CF,CD
CF,CG
CF,CM
GQ,CM
GQ,GA
GA,CM
GA,GQ
GA,CG
CG,CM
CG,CF
CG,CD
CG,GA
CG,AO
CD,CF
CD,SS
CD,UG
CD,RW
CD,BI
CD,TZ
CD,ZM
CD,AO
CD,CG

# Africa - East
ER,SD
ER,ET
ER,DJ
ET,SD
ET,SS
ET,KE
ET,SO
ET,DJ
ET,ER
DJ,ER
DJ,ET
DJ,SO
SO,ET
SO,DJ
SO,KE
KE,ET
KE,SO
KE,SS
KE,UG
KE,TZ
SS,SD
SS,ET
SS,KE
SS,UG
SS,CD
SS,CF
UG,SS
UG,KE
UG,TZ
UG,RW
UG,CD
RW,UG
RW,TZ
RW,BI
RW,CD
BI,RW
BI,TZ
BI,CD
TZ,KE
TZ,UG
TZ,RW
TZ,BI
TZ,CD
TZ,ZM
TZ,MW
TZ,MZ

# Africa - Southern
AO,CG
AO,CD
AO,ZM
AO,NA
ZM,CD
ZM,TZ
ZM,MW
ZM,MZ
ZM,ZW
ZM,BW
ZM,NA
ZM,AO
MW,TZ
MW,ZM
MW,MZ
MZ,TZ
MZ,MW
MZ,ZM
MZ,ZW
MZ,SZ
MZ,ZA
ZW,ZM
ZW,BW
ZW,ZA
ZW,MZ
BW,ZM
BW,ZW
BW,NA
BW,ZA
NA,AO
NA,ZM
NA,BW
NA,ZA
ZA,MZ
ZA,SZ
ZA,LS
ZA,ZW
ZA,BW
ZA,NA
SZ,MZ
SZ,ZA
LS,ZA

# Oceania
AU,ID
AU,PG
PG,ID
PG,AU
